========================================
Starting Exhaustive 8-Bit Verification...
========================================
OK -> Input: 00000000 | Expected: 0 | Got: 0
OK -> Input: 00000001 | Expected: 1 | Got: 1
OK -> Input: 00000010 | Expected: 1 | Got: 1
OK -> Input: 00000011 | Expected: 0 | Got: 0
OK -> Input: 00000100 | Expected: 1 | Got: 1
OK -> Input: 00000101 | Expected: 0 | Got: 0
OK -> Input: 00000110 | Expected: 0 | Got: 0
OK -> Input: 00000111 | Expected: 1 | Got: 1
OK -> Input: 00001000 | Expected: 1 | Got: 1
OK -> Input: 00001001 | Expected: 0 | Got: 0
OK -> Input: 00001010 | Expected: 0 | Got: 0
OK -> Input: 00001011 | Expected: 1 | Got: 1
OK -> Input: 00001100 | Expected: 0 | Got: 0
OK -> Input: 00001101 | Expected: 1 | Got: 1
OK -> Input: 00001110 | Expected: 1 | Got: 1
OK -> Input: 00001111 | Expected: 0 | Got: 0
OK -> Input: 00010000 | Expected: 1 | Got: 1
OK -> Input: 00010001 | Expected: 0 | Got: 0
OK -> Input: 00010010 | Expected: 0 | Got: 0
OK -> Input: 00010011 | Expected: 1 | Got: 1
OK -> Input: 00010100 | Expected: 0 | Got: 0
OK -> Input: 00010101 | Expected: 1 | Got: 1
OK -> Input: 00010110 | Expected: 1 | Got: 1
OK -> Input: 00010111 | Expected: 0 | Got: 0
OK -> Input: 00011000 | Expected: 0 | Got: 0
OK -> Input: 00011001 | Expected: 1 | Got: 1
OK -> Input: 00011010 | Expected: 1 | Got: 1
OK -> Input: 00011011 | Expected: 0 | Got: 0
OK -> Input: 00011100 | Expected: 1 | Got: 1
OK -> Input: 00011101 | Expected: 0 | Got: 0
OK -> Input: 00011110 | Expected: 0 | Got: 0
OK -> Input: 00011111 | Expected: 1 | Got: 1
OK -> Input: 00100000 | Expected: 1 | Got: 1
OK -> Input: 00100001 | Expected: 0 | Got: 0
OK -> Input: 00100010 | Expected: 0 | Got: 0
OK -> Input: 00100011 | Expected: 1 | Got: 1
OK -> Input: 00100100 | Expected: 0 | Got: 0
OK -> Input: 00100101 | Expected: 1 | Got: 1
OK -> Input: 00100110 | Expected: 1 | Got: 1
OK -> Input: 00100111 | Expected: 0 | Got: 0
OK -> Input: 00101000 | Expected: 0 | Got: 0
OK -> Input: 00101001 | Expected: 1 | Got: 1
OK -> Input: 00101010 | Expected: 1 | Got: 1
OK -> Input: 00101011 | Expected: 0 | Got: 0
OK -> Input: 00101100 | Expected: 1 | Got: 1
